dimension_id:ID,:LABEL,value:float,value_string
DIM_AB002003_1911_BRIT_IRISH,E54_Dimension,139.0,
DIM_AB002003_1911_BRIT_SCOTCH,E54_Dimension,295.0,
DIM_AB002003_1911_BRIT_OTHER,E54_Dimension,11.0,
DIM_AB002003_1911_FRENCH,E54_Dimension,372.0,
DIM_AB002003_1911_GERMAN,E54_Dimension,103.0,
DIM_AB002003_1911_AUSTRO_HUNGARIAN,E54_Dimension,3.0,
DIM_AB002003_1911_DUTCH,E54_Dimension,10.0,
DIM_AB002003_1911_INDIAN,E54_Dimension,828.0,
DIM_AB002003_1911_ITALIAN,E54_Dimension,2.0,
DIM_AB002003_1911_POLISH,E54_Dimension,10.0,
DIM_AB002003_1911_RUSSIAN,E54_Dimension,2.0,
DIM_AB002003_1911_SCANDINAVIAN,E54_Dimension,53.0,
DIM_AB002003_1911_SWISS,E54_Dimension,1.0,
DIM_AB002003_1911_UNSPECIFIED,E54_Dimension,77.0,
DIM_AB002004_1911_CSD_TYPE,E54_Dimension,,R
DIM_AB002004_1911_BRIT_ENGLISH,E54_Dimension,13.0,
DIM_AB002004_1911_BRIT_IRISH,E54_Dimension,7.0,
DIM_AB002004_1911_BRIT_SCOTCH,E54_Dimension,17.0,
DIM_AB002004_1911_FRENCH,E54_Dimension,16.0,
DIM_AB002004_1911_INDIAN,E54_Dimension,671.0,
DIM_AB002004_1911_UNSPECIFIED,E54_Dimension,2.0,
DIM_AB002005_1911_BRIT_ENGLISH,E54_Dimension,235.0,
DIM_AB002005_1911_BRIT_IRISH,E54_Dimension,110.0,
DIM_AB002005_1911_BRIT_SCOTCH,E54_Dimension,172.0,
DIM_AB002005_1911_BRIT_OTHER,E54_Dimension,2.0,
DIM_AB002005_1911_FRENCH,E54_Dimension,59.0,
DIM_AB002005_1911_GERMAN,E54_Dimension,45.0,
DIM_AB002005_1911_AUSTRO_HUNGARIAN,E54_Dimension,191.0,
DIM_AB002005_1911_BELGIAN,E54_Dimension,21.0,
DIM_AB002005_1911_DUTCH,E54_Dimension,4.0,
DIM_AB002005_1911_GREEK,E54_Dimension,5.0,
DIM_AB002005_1911_ITALIAN,E54_Dimension,146.0,
DIM_AB002005_1911_NEGRO,E54_Dimension,1.0,
DIM_AB002005_1911_POLISH,E54_Dimension,10.0,
DIM_AB002005_1911_RUSSIAN,E54_Dimension,82.0,
DIM_AB002005_1911_SCANDINAVIAN,E54_Dimension,446.0,
DIM_AB002005_1911_SWISS,E54_Dimension,3.0,
DIM_AB002005_1911_UNSPECIFIED,E54_Dimension,30.0,
DIM_AB002006_1911_CSD_TYPE,E54_Dimension,,C
DIM_AB002006_1911_BRIT_ENGLISH,E54_Dimension,7942.0,
DIM_AB002006_1911_BRIT_IRISH,E54_Dimension,3130.0,
DIM_AB002006_1911_BRIT_SCOTCH,E54_Dimension,5390.0,
DIM_AB002006_1911_BRIT_OTHER,E54_Dimension,265.0,
DIM_AB002006_1911_FRENCH,E54_Dimension,1291.0,
DIM_AB002006_1911_GERMAN,E54_Dimension,1647.0,
DIM_AB002006_1911_AUSTRO_HUNGARIAN,E54_Dimension,958.0,
DIM_AB002006_1911_BELGIAN,E54_Dimension,88.0,
DIM_AB002006_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,8.0,
DIM_AB002006_1911_CHINESE,E54_Dimension,130.0,
DIM_AB002006_1911_DUTCH,E54_Dimension,299.0,
DIM_AB002006_1911_GREEK,E54_Dimension,8.0,
DIM_AB002006_1911_INDIAN,E54_Dimension,8.0,
DIM_AB002006_1911_ITALIAN,E54_Dimension,30.0,
DIM_AB002006_1911_JAPANESE,E54_Dimension,23.0,
DIM_AB002006_1911_JEWISH,E54_Dimension,171.0,
DIM_AB002006_1911_NEGRO,E54_Dimension,298.0,
DIM_AB002006_1911_POLISH,E54_Dimension,217.0,
DIM_AB002006_1911_RUSSIAN,E54_Dimension,221.0,
DIM_AB002006_1911_SCANDINAVIAN,E54_Dimension,448.0,
DIM_AB002006_1911_SWISS,E54_Dimension,46.0,
DIM_AB002006_1911_UNSPECIFIED,E54_Dimension,2282.0,
DIM_AB002007_1911_CSD_TYPE,E54_Dimension,,T
DIM_AB002007_1911_BRIT_ENGLISH,E54_Dimension,18.0,
DIM_AB002007_1911_BRIT_IRISH,E54_Dimension,28.0,
DIM_AB002007_1911_BRIT_SCOTCH,E54_Dimension,47.0,
DIM_AB002007_1911_FRENCH,E54_Dimension,460.0,
DIM_AB002007_1911_GERMAN,E54_Dimension,18.0,
DIM_AB002007_1911_AUSTRO_HUNGARIAN,E54_Dimension,1.0,
DIM_AB002007_1911_BELGIAN,E54_Dimension,24.0,
DIM_AB002007_1911_CHINESE,E54_Dimension,2.0,
DIM_AB002007_1911_DUTCH,E54_Dimension,1.0,
DIM_AB002007_1911_INDIAN,E54_Dimension,1.0,
DIM_AB002007_1911_ITALIAN,E54_Dimension,1.0,
DIM_AB002007_1911_POLISH,E54_Dimension,3.0,
DIM_AB002007_1911_SWISS,E54_Dimension,5.0,
DIM_AB002007_1911_UNSPECIFIED,E54_Dimension,5.0,
DIM_AB002008_1911_CSD_TYPE,E54_Dimension,,T
DIM_AB002008_1911_BRIT_ENGLISH,E54_Dimension,54.0,
DIM_AB002008_1911_BRIT_IRISH,E54_Dimension,16.0,
DIM_AB002008_1911_BRIT_SCOTCH,E54_Dimension,7.0,
DIM_AB002008_1911_BRIT_OTHER,E54_Dimension,5.0,
DIM_AB002008_1911_FRENCH,E54_Dimension,9.0,
DIM_AB002008_1911_GERMAN,E54_Dimension,336.0,
DIM_AB002008_1911_AUSTRO_HUNGARIAN,E54_Dimension,3.0,
DIM_AB002008_1911_CHINESE,E54_Dimension,3.0,
DIM_AB002008_1911_INDIAN,E54_Dimension,3.0,
DIM_AB002008_1911_JEWISH,E54_Dimension,1.0,
DIM_AB002008_1911_POLISH,E54_Dimension,4.0,
DIM_AB002008_1911_RUSSIAN,E54_Dimension,1.0,
DIM_AB002008_1911_SCANDINAVIAN,E54_Dimension,16.0,
DIM_AB002008_1911_UNSPECIFIED,E54_Dimension,47.0,
DIM_AB002009_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB002009_1911_BRIT_ENGLISH,E54_Dimension,46.0,
DIM_AB002009_1911_BRIT_IRISH,E54_Dimension,43.0,
DIM_AB002009_1911_BRIT_SCOTCH,E54_Dimension,44.0,
DIM_AB002009_1911_BRIT_OTHER,E54_Dimension,2.0,
DIM_AB002009_1911_FRENCH,E54_Dimension,60.0,
DIM_AB002009_1911_GERMAN,E54_Dimension,13.0,
DIM_AB002009_1911_BELGIAN,E54_Dimension,1.0,
DIM_AB002009_1911_CHINESE,E54_Dimension,1.0,
DIM_AB002009_1911_NEGRO,E54_Dimension,1.0,
DIM_AB002009_1911_RUSSIAN,E54_Dimension,1.0,
DIM_AB002009_1911_SCANDINAVIAN,E54_Dimension,13.0,
DIM_AB002009_1911_UNSPECIFIED,E54_Dimension,2.0,
DIM_AB002010_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB002010_1911_BRIT_ENGLISH,E54_Dimension,19.0,
DIM_AB002010_1911_BRIT_IRISH,E54_Dimension,14.0,
DIM_AB002010_1911_BRIT_SCOTCH,E54_Dimension,19.0,
DIM_AB002010_1911_FRENCH,E54_Dimension,14.0,
DIM_AB002010_1911_GERMAN,E54_Dimension,7.0,
DIM_AB002010_1911_AUSTRO_HUNGARIAN,E54_Dimension,2.0,
DIM_AB002010_1911_BELGIAN,E54_Dimension,4.0,
DIM_AB002010_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,1.0,
DIM_AB002010_1911_DUTCH,E54_Dimension,2.0,
DIM_AB002010_1911_INDIAN,E54_Dimension,1.0,
DIM_AB002010_1911_SCANDINAVIAN,E54_Dimension,23.0,
DIM_AB002010_1911_UNSPECIFIED,E54_Dimension,44.0,
DIM_AB002011_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB002011_1911_BRIT_ENGLISH,E54_Dimension,75.0,
DIM_AB002011_1911_BRIT_IRISH,E54_Dimension,24.0,
DIM_AB002011_1911_BRIT_SCOTCH,E54_Dimension,31.0,
DIM_AB002011_1911_BRIT_OTHER,E54_Dimension,4.0,
DIM_AB002011_1911_FRENCH,E54_Dimension,64.0,
DIM_AB002011_1911_GERMAN,E54_Dimension,33.0,
DIM_AB002011_1911_DUTCH,E54_Dimension,1.0,
DIM_AB002011_1911_ITALIAN,E54_Dimension,6.0,
DIM_AB002011_1911_POLISH,E54_Dimension,1.0,
DIM_AB002011_1911_RUSSIAN,E54_Dimension,2.0,
DIM_AB002011_1911_SCANDINAVIAN,E54_Dimension,5.0,
DIM_AB002012_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB002012_1911_BRIT_ENGLISH,E54_Dimension,83.0,
DIM_AB002012_1911_BRIT_IRISH,E54_Dimension,23.0,
DIM_AB002012_1911_BRIT_SCOTCH,E54_Dimension,50.0,
DIM_AB002012_1911_BRIT_OTHER,E54_Dimension,2.0,
DIM_AB002012_1911_FRENCH,E54_Dimension,4.0,
DIM_AB002012_1911_GERMAN,E54_Dimension,11.0,
DIM_AB002012_1911_AUSTRO_HUNGARIAN,E54_Dimension,16.0,
DIM_AB002012_1911_BELGIAN,E54_Dimension,2.0,
DIM_AB002012_1911_CHINESE,E54_Dimension,9.0,
DIM_AB002012_1911_DUTCH,E54_Dimension,1.0,
DIM_AB002012_1911_JEWISH,E54_Dimension,2.0,
DIM_AB002012_1911_RUSSIAN,E54_Dimension,6.0,
DIM_AB002012_1911_SCANDINAVIAN,E54_Dimension,29.0,
DIM_AB002012_1911_SWISS,E54_Dimension,3.0,
DIM_AB002012_1911_UNSPECIFIED,E54_Dimension,256.0,
DIM_AB002013_1911_CSD_TYPE,E54_Dimension,,VL
DIM_AB002013_1911_BRIT_ENGLISH,E54_Dimension,51.0,
DIM_AB002013_1911_BRIT_IRISH,E54_Dimension,12.0,
