tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,relationship,iou,frac_from,frac_to,name_similarity
PE001012,Township No. 12,Prince,PE,PE135013,Township No. 12,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001013,Township No. 13,Prince,PE,PE135014,Township No. 13,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001014,Township No. 14,Prince,PE,PE135015,Township No. 14,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001015,Township No. 15,Prince,PE,PE135016,Township No. 15,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001016,Township No. 16,Prince,PE,PE135017,Township No. 16,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001018,Township No. 17,Prince,PE,PE135018,Township No. 17,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001019,Township No. 18,Prince,PE,PE135019,Township No. 18,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001020,Township No. 19,Prince,PE,PE135020,Township No. 19,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001021,Township No. 25,Prince,PE,PE135021,Township No. 25,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001022,Township No. 26,Prince,PE,PE135022,Township No. 26,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001023,Township No. 27,Prince,PE,PE135023,Township No. 27,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001024,Township No. 28,Prince,PE,PE135024,Township No. 28,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE001017,Summerside,Prince,PE,PE135001,Summerside,Prince,PE,SAME_AS,1.0,1.0,1.0,100.0
PE002002,Township No. 20,Queen's,PE,PE136002,Township No. 20,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002003,Township No. 21,Queen's,PE,PE136003,Township No. 21,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002004,Township No. 22,Queen's,PE,PE136004,Township No. 22,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002005,Township No. 23,Queen's,PE,PE136005,Township No. 23,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002006,Township No. 24,Queen's,PE,PE136006,Township No. 24,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002007,Township No. 29,Queen's,PE,PE136007,Township No. 29,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002008,Township No. 30,Queen's,PE,PE136008,Township No. 30,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002009,Township No. 31,Queen's,PE,PE136009,Township No. 31,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002010,Township No. 32,Queen's,PE,PE136010,Township No. 32,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002011,Township No. 33,Queen's,PE,PE136011,Township No. 33,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002012,Township No. 34,Queen's,PE,PE136012,Township No. 34,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002013,Township No. 35,Queen's,PE,PE136013,Township No. 35,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002014,Township No. 36,Queen's,PE,PE136014,Township No. 36,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002015,Township No. 37,Queen's,PE,PE136015,Township No. 37,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002016,Township No. 48,Queen's,PE,PE136016,Township No. 48,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002017,Township No. 49,Queen's,PE,PE136017,Township No. 49,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002018,Township No. 50,Queen's,PE,PE136018,Township No. 50,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002019,Township No. 57,Queen's,PE,PE136019,Township No. 57,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002020,Township No. 58,Queen's,PE,PE136020,Township No. 58,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002021,Township No. 60,Queen's,PE,PE136021,Township No. 60,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002022,Township No. 62,Queen's,PE,PE136022,Township No. 62,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002023,Township No. 65,Queen's,PE,PE136023,Township No. 65,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002024,Township No. 67,Queen's,PE,PE136024,Township No. 67,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
PE002001,Charlottetown Royalty,Queen's,PE,PE136001,Charlottetown Royalty,Queen’s,PE,SAME_AS,1.0,1.0,1.0,95.71
ON135006,"Stouffville, Village","York, East—Est",ON,ON131001,Markham,"York, East—Est",ON,WITHIN,0.0069,1.0,0.0069,35.19
