var_code,year,presence_count
VAR_ETH_FC_N,1891,1942
VAR_ETH_FI_N,1851,68
VAR_ETH_FI_N,1861,98
VAR_ETH_FI_N,1871,13
VAR_ETH_FN_N,1851,99
VAR_ETH_FN_N,1861,172
VAR_ETH_MI_N,1851,80
VAR_ETH_MI_N,1861,124
VAR_ETH_MI_N,1871,14
VAR_ETH_MN_N,1851,117
VAR_ETH_MN_N,1861,218
VAR_ETH_NFC_N,1891,2366
VAR_ETH_XA_N,1851,821
VAR_ETH_XA_N,1861,1025
VAR_ETH_XI_N,1851,45
VAR_ETH_XI_N,1861,99
VAR_ETH_XN_N,1851,41
VAR_ETH_XN_N,1861,187
VAR_EUR_AUSTRIAN,1921,1573
VAR_EUR_BELGIAN,1921,1142
VAR_EUR_DUTCH,1921,2451
VAR_EUR_FINNISH,1921,613
VAR_EUR_FRENCH,1921,4434
VAR_EUR_GERMAN,1921,3112
VAR_EUR_GREEK,1921,338
VAR_EUR_HEBREW,1921,1100
VAR_EUR_ITALIAN,1921,1159
VAR_EUR_OTHER,1921,1915
VAR_EUR_POLISH,1921,1389
VAR_EUR_RUSSIAN,1921,1610
VAR_EUR_SCANDINAVIAN,1921,2480
VAR_EUR_UKRAINIAN,1921,930
VAR_EVANGELICAL_ASSOCIATION,1921,467
VAR_FAMILIES,1911,3170
VAR_FISH_BLM_N,1871,19
VAR_FISH_BL_N,1871,22
VAR_FISH_BM_N,1881,376
VAR_FISH_BX_N,1871,57
VAR_FISH_BX_N,1881,376
VAR_FISH_CH_Q,1871,52
VAR_FISH_CX_Q,1881,341
VAR_FISH_EE_BL,1881,180
VAR_FISH_EX_N,1871,44
VAR_FISH_FX_Q,1881,131
VAR_FISH_GX_BL,1881,204
VAR_FISH_HA_BL,1871,53
VAR_FISH_HA_BL,1881,354
VAR_FISH_HP_Q,1881,232
VAR_FISH_HS_LB,1871,14
VAR_FISH_HX_BL,1881,128
VAR_FISH_LX_LB,1881,97
VAR_FISH_MX_BL,1871,49
VAR_FISH_MX_BL,1881,321
VAR_FISH_NX_F,1881,393
VAR_FISH_OTH_BL,1881,205
VAR_FISH_OX_G,1871,50
VAR_FISH_OX_G,1881,303
VAR_FISH_OY_BL,1881,62
VAR_FISH_PC_BL,1851,171
VAR_FISH_PD_Q,1861,73
VAR_FISH_PF_LB,1861,100
VAR_FISH_PS_BL,1861,192
VAR_FISH_SH_BL,1881,78
VAR_FISH_SL_LB,1871,4
VAR_FISH_SM_N,1881,167
VAR_FISH_SN_BL,1881,68
VAR_FISH_SX_BL,1881,191
VAR_FISH_SX_V,1871,6
VAR_FISH_TX_BL,1881,163
VAR_FISH_VM_N,1881,166
VAR_FISH_VX_N,1881,166
VAR_FISH_WX_BL,1881,26
VAR_FISH_XE_N,1871,33
VAR_FLH_XX_LB,1851,516
VAR_FLH_XX_LB,1861,727
VAR_FLX_MX_N,1871,6
