person_id,person_name,person_qid,dcb_url,event_type,event_year,place_qid,place_id,place_label,match_strategy,confidence
viaf:104460129,John Smythe Hall,Q6258422,http://www.biographi.ca/en/bio/hall_john_smythe_13E.html,birth,1853,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104460129,John Smythe Hall,Q6258422,http://www.biographi.ca/en/bio/hall_john_smythe_13E.html,death,1909,Q36312,PLACE_AB194026,Calgary,wd,high
viaf:104460920,Sir John Hawkins Hagarty,Q6238297,http://www.biographi.ca/en/bio/hagarty_john_hawkins_12E.html,death,1900,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104461966,Wallace Nesbitt,Q15499766,http://www.biographi.ca/en/bio/nesbitt_wallace_15E.html,birth,1858,Q1642364,PLACE_ON134012,Woodstock,wd,high
viaf:104461966,Wallace Nesbitt,Q15499766,http://www.biographi.ca/en/bio/nesbitt_wallace_15E.html,death,1930,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104462704,George Ritchie Maxwell,Q5543906,http://www.biographi.ca/en/bio/maxwell_george_ritchie_13E.html,death,1902,Q24639,PLACE_BC206005,Vancouver,wd,high
viaf:104462801,Thos. G. (Thomas George) Shaughnessy,Q3525563,http://www.biographi.ca/en/bio/shaughnessy_thomas_george_15E.html,death,1923,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104463002,the Reverend John McCaul,Q6247479,http://www.biographi.ca/en/bio/mccaul_john_11E.html,death,1887,Q172,PLACE_ON154011,Toronto,wd,high
viaf:104463073,Eugène Rouillard,Q53835526,http://www.biographi.ca/en/bio/rouillard_eugene_15E.html,birth,1851,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104463073,Eugène Rouillard,Q53835526,http://www.biographi.ca/en/bio/rouillard_eugene_15E.html,death,1926,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104463162,Emma Lucy Wells,Q108172051,http://www.biographi.ca/en/bio/wells_emma_lucy_15E.html,death,1926,Q497373,PLACE_NS011044,Dartmouth,wd,high
viaf:104463400,Piers,Q55942993,http://www.biographi.ca/en/bio/fairbanks_constance_16E.html,birth,1866,Q497373,PLACE_NS011044,Dartmouth,wd,high
viaf:104463492,Edmund James Flynn,Q648593,http://www.biographi.ca/en/bio/flynn_edmund_james_15E.html,death,1927,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:104463574,J.-G. (Joseph-Guillaume) Barthe,Q3184288,http://www.biographi.ca/en/bio/barthe_joseph_guillaume_12E.html,death,1893,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104464286,William Watson Ogilvie,Q8020087,http://www.biographi.ca/en/bio/ogilvie_william_watson_12E.html,birth,1835,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104464286,William Watson Ogilvie,Q8020087,http://www.biographi.ca/en/bio/ogilvie_william_watson_12E.html,death,1900,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:104464802,John Robson Premier of British Columbia (1824-1892),Q361267,http://www.biographi.ca/en/bio/robson_john_12E.html,birth,1824,Q2428683,PLACE_ON123017_1911,Perth,wd,high
viaf:104464989,Sir Frank Smith,Q15489442,http://www.biographi.ca/en/bio/smith_frank_13E.html,death,1901,Q172,PLACE_ON154011,Toronto,wd,high
