presence_id:ID,cd_id,census_year:int,area_sqm:float,num_csds:int,:LABEL
CD_QC_Soulanges_1871,CD_QC_Soulanges,1871,364409449.59,7,E93_Presence
CD_QC_St._Hyacinthe_1871,CD_QC_St._Hyacinthe,1871,730222551.99,9,E93_Presence
CD_QC_St._Jean_1871,CD_QC_St._Jean,1871,473275745.4,6,E93_Presence
CD_NB_St._John_1871,CD_NB_St._John,1871,1605180788.72,13,E93_Presence
CD_QC_Stanstead_1871,CD_QC_Stanstead,1871,1167999401.88,7,E93_Presence
CD_ON_Stormont_1871,CD_ON_Stormont,1871,782114068.91,3,E93_Presence
CD_NB_Sunbury_1871,CD_NB_Sunbury,1871,2811724644.02,6,E93_Presence
CD_QC_Temiscouata_1871,CD_QC_Temiscouata,1871,4958852738.43,16,E93_Presence
CD_QC_Terrebonne_1871,CD_QC_Terrebonne,1871,1719892814.61,15,E93_Presence
CD_NT_The_Territories_1871,CD_NT_The_Territories,1871,7290524246771.98,1,E93_Presence
"CD_ON_Toronto,_East—Est_1871","CD_ON_Toronto,_East—Est",1871,6604004.98,3,E93_Presence
"CD_ON_Toronto,_West—Ouest_1871","CD_ON_Toronto,_West—Ouest",1871,13901138.08,4,E93_Presence
CD_QC_Trois_Rivieres_1871,CD_QC_Trois_Rivieres,1871,50289511.97,5,E93_Presence
CD_QC_Vaudreuil_1871,CD_QC_Vaudreuil,1871,518975343.58,6,E93_Presence
CD_QC_Vercheres_1871,CD_QC_Vercheres,1871,552864627.21,8,E93_Presence
CD_NB_Victoria_1871,CD_NB_Victoria,1871,9204550196.48,8,E93_Presence
CD_NS_Victoria_1871,CD_NS_Victoria,1871,3014254590.15,13,E93_Presence
"CD_ON_Victoria,_North—Nord_1871","CD_ON_Victoria,_North—Nord",1871,2515957971.19,7,E93_Presence
"CD_ON_Victoria,_South—Sud_1871","CD_ON_Victoria,_South—Sud",1871,1186745627.62,5,E93_Presence
"CD_ON_Waterloo,_North—Nord_1871","CD_ON_Waterloo,_North—Nord",1871,736430770.38,5,E93_Presence
"CD_ON_Waterloo,_South—Sud_1871","CD_ON_Waterloo,_South—Sud",1871,685861689.25,7,E93_Presence
CD_ON_Welland_1871,CD_ON_Welland,1871,718677547.08,12,E93_Presence
"CD_ON_Wellington,_Centre_1871","CD_ON_Wellington,_Centre",1871,1161707334.48,9,E93_Presence
"CD_ON_Wellington,_North—Nord_1871","CD_ON_Wellington,_North—Nord",1871,1847291530.43,7,E93_Presence
"CD_ON_Wellington,_South—Sud_1871","CD_ON_Wellington,_South—Sud",1871,445741742.18,3,E93_Presence
"CD_ON_Wentworth,_North—Nord_1871","CD_ON_Wentworth,_North—Nord",1871,603668443.55,4,E93_Presence
"CD_ON_Wentworth,_South—Sud_1871","CD_ON_Wentworth,_South—Sud",1871,624447014.17,5,E93_Presence
CD_NB_Westmorland_1871,CD_NB_Westmorland,1871,3820192248.24,7,E93_Presence
CD_QC_Wolfe_1871,CD_QC_Wolfe,1871,1859707273.31,8,E93_Presence
CD_QC_Yamaska_1871,CD_QC_Yamaska,1871,713494186.41,8,E93_Presence
CD_NS_Yarmouth_1871,CD_NS_Yarmouth,1871,2473884091.87,11,E93_Presence
CD_NB_York_1871,CD_NB_York,1871,9387830223.22,17,E93_Presence
"CD_ON_York,_East—Est_1871","CD_ON_York,_East—Est",1871,622618224.22,4,E93_Presence
"CD_ON_York,_North—Nord_1871","CD_ON_York,_North—Nord",1871,1582808751.76,8,E93_Presence
"CD_ON_York,_West—Ouest_1871","CD_ON_York,_West—Ouest",1871,606922422.1,3,E93_Presence
