:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
ON033005_1851,ON096010_1861,SAME_AS,0.9805,0.9805,1.0,1851,1861,P134_continued
ON034003_1851,ON097001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON034002_1851,ON097002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON034001_1851,ON097003_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON004002_1851,ON067002_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON034004_1851,ON097004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035003_1851,ON098009_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035006_1851,ON098006_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035009_1851,ON098013_1861,SAME_AS,0.9817,0.9817,1.0,1851,1861,P134_continued
ON035009_1851,ON098004_1861,CONTAINS,0.0183,0.0183,1.0,1851,1861,P134_continued
ON035004_1851,ON098015_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035008_1851,ON098016_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON035005_1851,ON098021_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON038005_1851,ON101010_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON038004_1851,ON101012_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039009_1851,ON103011_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039008_1851,ON103014_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039007_1851,ON103004_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039001_1851,ON103005_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039003_1851,ON103008_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039005_1851,ON103003_1861,CONTAINS,0.0206,0.0206,1.0,1851,1861,P134_continued
ON039005_1851,ON103006_1861,CONTAINS,0.0206,0.0206,1.0,1851,1861,P134_continued
ON039012_1851,ON103015_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON039002_1851,ON103016_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
ON041004_1851,ON104001_1861,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
