:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
NB031006,NB034005,CENSUS_1921,10275.06,P122_borders_with
NB031006,NB031007,CENSUS_1921,53849.34,P122_borders_with
NB031006,QC044009,CENSUS_1921,17766.22,P122_borders_with
NB031006,QC044021,CENSUS_1921,20694.26,P122_borders_with
NB031006,QC044999,CENSUS_1921,19308.44,P122_borders_with
NB031007,NB034002,CENSUS_1921,40569.02,P122_borders_with
NB031007,NB034005,CENSUS_1921,3029.39,P122_borders_with
NB031007,QC084999,CENSUS_1921,82122.75,P122_borders_with
NB031007,QC044999,CENSUS_1921,40300.49,P122_borders_with
NB032001,NB032002,CENSUS_1921,15774.3,P122_borders_with
NB032001,NB032005,CENSUS_1921,1620.43,P122_borders_with
NB032003,NB032004,CENSUS_1921,17383.87,P122_borders_with
NB032004,NB032005,CENSUS_1921,7716.25,P122_borders_with
NB033001,NB033003,CENSUS_1921,39362.43,P122_borders_with
NB033001,NB033002,CENSUS_1921,14208.74,P122_borders_with
NB033002,NB033004,CENSUS_1921,876.59,P122_borders_with
NB033002,NB033008,CENSUS_1921,2178.02,P122_borders_with
NB033003,NB036008,CENSUS_1921,36272.75,P122_borders_with
NB033003,NB033004,CENSUS_1921,11805.02,P122_borders_with
NB033004,NB036008,CENSUS_1921,12061.0,P122_borders_with
NB033004,NB036016,CENSUS_1921,5598.0,P122_borders_with
NB033005,NB033007,CENSUS_1921,35744.59,P122_borders_with
NB033005,NB036012,CENSUS_1921,57727.15,P122_borders_with
NB033005,NB033006,CENSUS_1921,27162.78,P122_borders_with
NB033005,NB036014,CENSUS_1921,5490.38,P122_borders_with
NB033006,NB033007,CENSUS_1921,13334.43,P122_borders_with
NB034001,NB034009,CENSUS_1921,2244.67,P122_borders_with
NB034001,NB034006,CENSUS_1921,13181.69,P122_borders_with
NB034001,NB034010,CENSUS_1921,8569.36,P122_borders_with
NB034001,NB034007,CENSUS_1921,5337.72,P122_borders_with
NB034001,NB034004,CENSUS_1921,7810.85,P122_borders_with
NB034002,NB034006,CENSUS_1921,8442.53,P122_borders_with
NB034002,NB034007,CENSUS_1921,6564.68,P122_borders_with
NB034002,NB034004,CENSUS_1921,31082.44,P122_borders_with
NB034002,NB034003,CENSUS_1921,16845.09,P122_borders_with
NB034002,NB034005,CENSUS_1921,56882.27,P122_borders_with
NB034003,NB034006,CENSUS_1921,18481.14,P122_borders_with
NB034003,NB036014,CENSUS_1921,19610.74,P122_borders_with
NB034003,NB034005,CENSUS_1921,58142.17,P122_borders_with
NB034004,NB034007,CENSUS_1921,307.92,P122_borders_with
NB034004,NB034008,CENSUS_1921,5999.91,P122_borders_with
NB034006,NB034009,CENSUS_1921,5308.8,P122_borders_with
NB034006,NB034010,CENSUS_1921,2801.08,P122_borders_with
NB034006,NB034007,CENSUS_1921,12759.35,P122_borders_with
NB034007,NB034010,CENSUS_1921,238.6,P122_borders_with
NB034009,NB034010,CENSUS_1921,1615.83,P122_borders_with
NB035001,NB035004,CENSUS_1921,5220.05,P122_borders_with
NB035001,NB035007,CENSUS_1921,14279.07,P122_borders_with
NB035001,NB035006,CENSUS_1921,11000.09,P122_borders_with
NB035002,NB035008,CENSUS_1921,3867.81,P122_borders_with
