year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1901,1911,QC138006,QC143014,"St. Ephrem d’Upton, Village",Upton vl,1.0,62.0,19,Bagot,Bagot,QC
1901,1911,ON066004,ON074006,"Durham, Town—Ville",Durham t-v,1.0,62.14,8,"Grey, South—Sud",Grey S,ON
1901,1911,ON081008,ON090008,"Perth, Town—Ville",Perth t-v,1.0,62.28,8,"Lanark, South—Sud",Lanark S,ON
1901,1911,ON102008,ON107005,"Oxford, North—Nord",Oxford N,1.0,62.28,10,"Oxford, South—Sud",Oxford S,ON
1901,1911,ON051003,ON109007,"Bolton, Village",Bolton vl,1.0,62.5,6,Cardwell,Peel,ON
1901,1911,ON119017,ON129038,"Woodville (part), Village",Woodville vl,1.0,62.55,13,"Victoria, North—Nord",Victoria,ON
1901,1911,QC149036,QC154029,Taillon,St. Henri de Taillon pr,1.0,62.67,16,Chicoutimi & Saguenay,Chicoutimi & Saguenay,QC
1901,1911,QC163008,QC168014,St. Joseph de Bordeaux,Bordeaux t-v,1.0,62.94,10,Laval,Laval,QC
1901,1911,ON101007,ON106004,"Zorra, East—Est",Zorra E,0.9911,63.01,8,"Oxford, North—Nord",Oxford N,ON
1901,1911,ON076007,ON085009,"Tilbury (part), Village",Tilbury t-v part,1.0,63.08,7,Kent,Kent W-O,ON
1901,1911,ON057005,ON066004,"St. Thomas, City—Cité",St Thomas c,1.0,63.12,10,"Elgin, East—Est",Elgin W-O,ON
1901,1911,QC187020,QC192007,"Ham, North—Nord",Ham N.,1.0,63.33,9,Richmond & Wolfe,Richmond & Wolfe,QC
1901,1911,ON128004,ON135010,"Dundas, Town—Ville",Dundas t-v,1.0,63.62,8,"Wentworth, South—Sud",Wentworth,ON
1901,1911,ON083005,ON091008,"Gananoque, Town—Ville",Gananoque t-v,1.0,63.7,8,"Leeds, South—Sud",Leeds,ON
1901,1911,ON066003,ON074007,"Hanover, Village",Hanover t-v,1.0,63.81,5,"Grey, South—Sud",Grey S,ON
1901,1911,ON067003,ON075002,"Cayuga, North—Nord",Cayuga N,1.0,63.85,10,Haldimand & Monok,Haldimand,ON
