chain_id,name,province,inherited_qid,inherited_label,phase_a_signals,phase_a_confidence,decision,notes
PLACE_QC164009,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 54 km from chain centroid
PLACE_QC165005,St. Cyrille,QC,Q112912036,Saint-Cyrille,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC165005_1901,St. Cyrille,QC,Q112912036,Saint-Cyrille,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC165008_1911,Buckingham,QC,Q63242700,Buckingham,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC165055,Mont Laurier vl,QC,Q142058,Mont-Laurier,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC168002_1871,Ste. Angèle de Mérici,QC,Q99437060,Sainte-Angèle-de-Mérici,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC168006,St. François de Sales,QC,Q112912171,Saint-François-de-Sales,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 315 km from chain centroid
PLACE_QC168007,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 166 km from chain centroid
PLACE_QC168007_1871,St. Jérôme,QC,Q112912399,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 596 km from chain centroid
PLACE_QC168008_1911,St. Martin,QC,Q3462931,Saint-Martin,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 245 km from chain centroid
PLACE_QC168016_1911,Pointe-aux-Trembles t-v,QC,Q3393516,Pointe-aux-Trembles,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC169015,Lévis t-v,QC,Q139208,Lévis,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC170005,"Farnham, Town—Ville",QC,Q141743,Farnham,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC170010,Ste. Perpétue,QC,Q112913094,Sainte-Perpétue,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC174019,Thetford Mines t-v,QC,Q141995,Thetford Mines,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC175012,St. Léonard,QC,Q3462828,Saint-Léonard-de-Portneuf,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 95 km from chain centroid
PLACE_QC176002,St. Alexis,QC,Q3461722,Saint-Alexis,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC176009,"Buckingham, Town—Ville",QC,Q2927470,Buckingham,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC176010,Buckingham,QC,Q63242700,Buckingham,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC176021,Labelle,QC,Q28469417,Labelle,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC177011,St. Thomas,QC,Q112912821,Saint-Thomas,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC177012_1911,Montmagny t-v,QC,Q141946,Montmagny,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC184012,St. Léonard,QC,Q3462828,Saint-Léonard-de-Portneuf,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 94 km from chain centroid
PLACE_QC185004,St. Ambroise,QC,Q112911857,Saint-Ambroise de la Jeune Lorette,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC185005_1891,"St. Ambroise, Village",QC,Q3461746,Saint-Ambroise,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 188 km from chain centroid
PLACE_QC185031,Ville-Marie vl,QC,Q141645,Ville-Marie,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC186020,St. Raymond-Nonnat,QC,Q137772105,Saint-Raymond,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC188003,Granby,QC,Q3113418,Granby,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC189002,L’Ange Gardien,QC,Q2849264,Ange-Gardien,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED,
PLACE_QC190005,St. Ambroise,QC,Q112911857,Saint-Ambroise de la Jeune Lorette,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC190007_1891,St. Joseph,QC,Q141613,Saint-Joseph-de-Beauce,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 271 km from chain centroid
PLACE_QC190017,Montmorency vl,QC,Q25395102,Montmorency,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC191004,"St. Jean, Town—Ville",QC,Q141977,Saint-Jean-sur-Richelieu,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC191006,Hatley,QC,Q3128315,Hatley,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC191006_1881,St. Luc,QC,Q7400713,Saint-Luc,S1_STRICT_YEAR_LINK;S2_STRICT_MULTIHOP,high,VERIFIED,
PLACE_QC191011_1911,Sorel t-v,QC,Q29386656,Sorel,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC192030,D'Israéli vl,QC,Q141452,Disraeli,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC193001,Ascot,QC,Q63242331,Ascot,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC193009,Ste. Angèle de Mérici,QC,Q99437060,Sainte-Angèle-de-Mérici,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC193028,St. Mathieu,QC,Q511005,Saint-Mathieu-de-Rioux,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC193029,St. Moïse,QC,Q106815257,Saint-Moïse,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC193041,St. Jérôme de Matane vl,QC,Q106815239,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC193042,St. Moïse vl,QC,Q3463019,Saint-Moïse,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC194009,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 228 km from chain centroid
PLACE_QC195006,Hatley,QC,Q3128315,Hatley,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC195009,"Magog, Town—Ville",QC,Q142004,Magog,S3_AMBIGUOUS_NAMED,medium,VERIFIED,
PLACE_QC196001,St. Alexandre,QC,Q3461713,Saint-Alexandre,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC196016_1911,St. Jean t-v,QC,Q141977,Saint-Jean-sur-Richelieu,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC197006,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 180 km from chain centroid
PLACE_QC197009,St. Jérôme,QC,Q112912399,Saint-Jérôme,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC198001,Ascot,QC,Q63242331,Ascot,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC198005_1911,Ascot t-v,QC,Q2866421,Ascot,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC200003,Hatley,QC,Q3128315,Hatley,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC200007_1911,St. Herménégilde,QC,Q3462399,Saint-Herménégilde,S4_TIER_ROOT_PROVINCE,low,VERIFIED,
PLACE_QC201008,St. Michel,QC,Q3462990,Saint-Michel-de-Bellechasse,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 180 km from chain centroid
PLACE_QC202005,St. Faustin,QC,Q63244709,Wolfe,S1_STRICT_YEAR_LINK,high,VERIFIED,
PLACE_QC202020,Ste. Agathe vl,QC,Q112912885,Sainte-Agathe,S4_TIER_ROOT_PROVINCE,low,DEMOTED,FAR: 226 km from chain centroid
PLACE_QC203004,St. Boniface (Shawinigan),QC,Q112911955,Saint-Boniface,S1_STRICT_YEAR_LINK,high,VERIFIED,
