tcpuid,year,persistent_place_id
ON074006,1891,PLACE_ON118010
ON071006,1901,PLACE_ON118010
ON080004,1911,PLACE_ON118010
ON118010,1921,PLACE_ON118010
ON015005,1851,PLACE_ON118017
ON078009,1861,PLACE_ON118033
ON062002,1871,PLACE_ON118033
ON122002,1881,PLACE_ON118033
ON074015,1891,PLACE_ON118033
ON071015,1901,PLACE_ON118033
ON080016,1911,PLACE_ON118033
ON118033,1921,PLACE_ON118033
ON078008,1861,PLACE_ON118017
ON016006,1851,PLACE_ON119006
ON079009,1861,PLACE_ON119006
ON026012,1871,PLACE_ON119006
ON175001,1881,PLACE_ON119006
ON076004,1891,PLACE_ON119006
ON073004,1901,PLACE_ON119006
ON081002,1911,PLACE_ON119006
ON119006,1921,PLACE_ON119006
ON016008,1851,PLACE_ON016008
ON079007,1861,PLACE_ON119004
ON026010,1871,PLACE_ON119004
ON174007,1881,PLACE_ON119004
ON076003,1891,PLACE_ON119004
ON073003,1901,PLACE_ON119004
ON081001,1911,PLACE_ON119004
ON119004,1921,PLACE_ON119004
ON079013,1861,PLACE_ON119009
ON026007,1871,PLACE_ON119009
ON175003,1881,PLACE_ON119009
ON076005,1891,PLACE_ON119009
ON073005,1901,PLACE_ON119009
ON081003,1911,PLACE_ON119009
ON119009,1921,PLACE_ON119009
ON079017,1861,PLACE_ON119013
ON026011,1871,PLACE_ON119013
ON175002,1881,PLACE_ON119013
ON076006,1891,PLACE_ON119013
ON073006,1901,PLACE_ON119013
ON081004,1911,PLACE_ON119013
ON119013,1921,PLACE_ON119013
ON016010,1851,PLACE_ON079019
ON079019,1861,PLACE_ON079019
ON016001,1851,PLACE_ON119005
ON079008,1861,PLACE_ON119005
ON025002,1871,PLACE_ON119005
ON173002,1881,PLACE_ON119005
ON077002,1891,PLACE_ON119005
ON074002,1901,PLACE_ON119005
ON082001,1911,PLACE_ON119005
ON119005,1921,PLACE_ON119005
ON016007,1851,PLACE_ON119008
ON079012,1861,PLACE_ON119008
ON026008,1871,PLACE_ON119008
ON174005,1881,PLACE_ON119008
ON077004,1891,PLACE_ON119008
ON074005,1901,PLACE_ON119008
ON082002,1911,PLACE_ON119008
ON119008,1921,PLACE_ON119008
ON016002,1851,PLACE_ON119011
ON079015,1861,PLACE_ON119011
ON025001,1871,PLACE_ON119011
ON173001,1881,PLACE_ON119011
ON091007,1891,PLACE_ON119011
ON088007,1901,PLACE_ON119011
ON082004,1911,PLACE_ON119011
ON119011,1921,PLACE_ON119011
ON016011,1851,PLACE_ON119002
ON079004,1861,PLACE_ON119002
ON026001,1871,PLACE_ON119002
ON174003,1881,PLACE_ON119002
ON078003,1891,PLACE_ON119002
ON075003,1901,PLACE_ON119002
ON083002,1911,PLACE_ON119002
ON119002,1921,PLACE_ON119002
ON017005,1851,PLACE_ON017005
ON080006,1861,PLACE_ON121005
ON003001,1871,PLACE_ON121005
ON178001,1881,PLACE_ON121005
ON061004,1891,PLACE_ON121005
ON058004,1901,PLACE_ON121005
ON084003,1911,PLACE_ON121005
ON121005,1921,PLACE_ON121005
ON080007,1861,PLACE_ON121006
ON003002,1871,PLACE_ON121006
ON178002,1881,PLACE_ON121006
ON061005,1891,PLACE_ON121006
ON058005,1901,PLACE_ON121006
ON084004,1911,PLACE_ON121006
ON017004,1851,PLACE_ON121004
ON080005,1861,PLACE_ON121004
ON002004,1871,PLACE_ON121004
ON180004,1881,PLACE_ON121004
ON079004,1891,PLACE_ON121004
ON076004,1901,PLACE_ON121004
ON085003,1911,PLACE_ON121004
ON121004,1921,PLACE_ON121004
ON017006,1851,PLACE_ON121007
ON080008,1861,PLACE_ON121007
ON002003,1871,PLACE_ON121007
