lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
BRIDGE_NAME_MATCH,PLACE_ON172009,PLACE_ON152016,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON110002,PLACE_ON142004_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100003,PLACE_ON149002,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100010,PLACE_ON149008,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON107000,PLACE_ON135035,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100004,PLACE_ON149003,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100005,PLACE_ON149004,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100001,PLACE_ON116001,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON100009,PLACE_ON116011,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON106002,PLACE_ON102108,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON089002,PLACE_ON102108,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON182022,PLACE_ON102108,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON044025,PLACE_ON102108,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC002008,PLACE_QC037009,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC002001,PLACE_QC037001,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC058006_1851,PLACE_QC042011,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC096002,PLACE_QC037011,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC078009,PLACE_QC039014_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC143003,PLACE_QC039014_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC149019_1881,PLACE_QC149020_1901,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC078008,PLACE_QC039017,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC004006,PLACE_QC039017,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC189015,PLACE_QC039017,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC078011,PLACE_QC039011,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC045013,PLACE_QC193032,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC040002_1871,PLACE_QC193032,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC032001,PLACE_QC157001,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC005003,PLACE_QC048017_1881,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC005011,PLACE_QC048016_1881,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC157004,PLACE_QC048016_1881,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC048011,PLACE_QC041002_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC006003,PLACE_QC041002_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC145002,PLACE_QC041002_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC041013,PLACE_QC095009,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC048010,PLACE_QC041013_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC145006,PLACE_QC041013_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC006002,PLACE_QC041001_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC111006,PLACE_QC041001_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC140003_1881,PLACE_QC041001_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC145001_1901,PLACE_QC041001_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC049011,PLACE_QC017001,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC049007,PLACE_QC141001_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC162003,PLACE_QC141001_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC045008_1881,PLACE_QC141001_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC121003,PLACE_QC091004,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC007005,PLACE_QC042010_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC161003,PLACE_QC042010_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC045005_1881,PLACE_QC042010_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC146006,PLACE_QC042010_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC007006,PLACE_QC042011_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC045007,PLACE_QC042011_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC146007,PLACE_QC042011_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC049004,PLACE_QC042012_1911,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC141009,PLACE_QC042012_1911,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC060005_1851,PLACE_QC201008,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC049003,PLACE_QC042017,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC142003,PLACE_QC043003,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC147005,PLACE_QC043007_1921,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC052018,PLACE_QC038013,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC143001,PLACE_QC044001_1911,1911,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC169004,PLACE_QC148004,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC038002,PLACE_QC044006,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC143003_1901,PLACE_QC044006,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC148005,PLACE_QC044006,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC038008,PLACE_QC044008_1901,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC169011,PLACE_QC143006,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC038016,PLACE_QC143006,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC169005,PLACE_QC044012,1901,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_QC038007,PLACE_QC044012,1901,BRIDGE_NAME_MATCH
