old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_QC163012,PLACE_QC168009_1911,QC,Ste. Rose,Ste. Rose,1871;1881;1891;1901,1911,high,bridge_name_match
PLACE_QC153005,PLACE_QC066015,QC,Lauzon,"Lauzon, T-V",1871,1911;1921,high,bridge_name_match
PLACE_QC046003_1881,PLACE_QC066015,QC,"Lauzon, Village","Lauzon, T-V",1881,1911;1921,high,bridge_name_match
PLACE_QC164002,PLACE_QC066015,QC,"Lauzon, Village","Lauzon, T-V",1891;1901,1911;1921,high,bridge_name_match
PLACE_QC123007,PLACE_QC085003,QC,Ste. Angèle,Ste. Angèle,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC178008,PLACE_QC080029,QC,Portneuf,"Portneuf, VL",1871;1881;1891,1921,high,bridge_name_match
PLACE_QC186009,PLACE_QC080029,QC,Portneuf,"Portneuf, VL",1901;1911,1921,high,bridge_name_match
PLACE_QC178012,PLACE_QC080011_1901,QC,St. Basile,St. Basile,1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC180007,PLACE_QC081007,QC,St. Colomb de Sillery,St. Colomb de Sillery,1861;1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC043005_1861,PLACE_QC082008,QC,St. Robert,St. Robert,1861,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC120007,PLACE_QC082008,QC,St. Robert,St. Robert,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC040008_1881,PLACE_QC188007,QC,Rimouski,Rimouski,1881,1891;1901,high,bridge_name_match
PLACE_QC201009,PLACE_QC100012,QC,St. Pie de Guire,St. Pie de Guire,1871;1881;1891;1901,1911;1921,high,bridge_name_match
PLACE_QC154010,PLACE_QC159010,QC,Grande Vallée des Monts,Grande Vallée des Monts,1871;1881;1891;1901,1911,high,bridge_name_match
PLACE_QC168009,PLACE_QC188001_1891,QC,Cherbourg,Cherbourg,1871,1891;1901,high,bridge_name_match
PLACE_QC040026,PLACE_QC188001_1891,QC,Cherbourg,Cherbourg,1881,1891;1901,high,bridge_name_match
PLACE_QC166010,PLACE_QC095023,QC,St. Modeste,St. Modeste,1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_QC168004,PLACE_QC076041,QC,Ste. Dorothée,"Ste. Dorothée, par.",1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC094005,PLACE_QC062015,QC,Derry,Derry,1871,1911;1921,medium,bridge_name_match
PLACE_QC095003,PLACE_QC062036,QC,Mulgrave,Mulgrave,1871,1911;1921,medium,bridge_name_match
PLACE_QC150003,PLACE_QC076014_1881,QC,Bagotville,"Bagotville, Village",1871,1881,high,bridge_name_match
PLACE_QC150010,PLACE_QC076029,QC,Péribonka,Péribonka,1871,1881,high,bridge_name_match
PLACE_QC140001,PLACE_QC088005,QC,"Sherbrooke, Town—Ville","Sherbrooke, C",1871,1911;1921,medium,bridge_name_match
PLACE_QC149037,PLACE_QC086073,QC,Pointe des Monts,Pointe des Monts,1871;1881;1891,1921,high,bridge_name_match
PLACE_QC149049,PLACE_QC086073,QC,Pointe des Monts,Pointe des Monts,1901,1921,high,bridge_name_match
PLACE_QC154062,PLACE_QC086073,QC,Pointe des Monts,Pointe des Monts,1911,1921,high,bridge_name_match
PLACE_QC154059,PLACE_QC086025,QC,Bonne Espérance,Bonne Espérance,1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_QC149038,PLACE_QC086010,QC,Tadoussac,"Tadoussac, VL",1871;1881;1891,1901;1911;1921,high,bridge_name_match
PLACE_QC133004,PLACE_QC047032,QC,St. Tite,"St. Tite, T-V",1871,1911;1921,high,bridge_name_match
PLACE_QC082012_1881,PLACE_QC047032,QC,St. Tite,"St. Tite, T-V",1881,1911;1921,high,bridge_name_match
