norm_name,province,n_members,winner,members,reason
l'islet,QC,3,PLACE_QC170001_1901,PLACE_QC023002;PLACE_QC165003;PLACE_QC170001_1901,medium_confidence_gap
st. jean port joli,QC,2,PLACE_QC067008,PLACE_QC060005;PLACE_QC067008,medium_confidence_gap
st. jean deschaillons,QC,6,PLACE_QC171011,PLACE_QC061002;PLACE_QC030008;PLACE_QC049001_1881;PLACE_QC166010_1891;PLACE_QC166012_1901;PLACE_QC171011,medium_confidence_gap
st. justin,QC,4,PLACE_QC069010_1921,PLACE_QC031005;PLACE_QC128003;PLACE_QC173007_1891;PLACE_QC069010_1921,medium_confidence_gap
rawdon,QC,2,PLACE_QC073013_1921,PLACE_QC034004;PLACE_QC073013_1921,medium_confidence_gap
laval,QC,2,PLACE_QC078029,PLACE_QC078013;PLACE_QC078029,medium_confidence_gap
bristol,QC,2,PLACE_QC079005_1901,PLACE_QC098004;PLACE_QC079005_1901,medium_confidence_gap
litchfield,QC,4,PLACE_QC079015,PLACE_QC067011;PLACE_QC091006;PLACE_QC180014;PLACE_QC079015,medium_confidence_gap
portage du fort,QC,2,PLACE_QC079027,PLACE_QC091007;PLACE_QC079027,medium_confidence_gap
quebec,QC,2,PLACE_QC081017,PLACE_QC084000;PLACE_QC081017,medium_confidence_gap
notre dame,QC,2,PLACE_QC195002,PLACE_QC069001;PLACE_QC195002,medium_confidence_gap
bic,QC,2,PLACE_QC084020,PLACE_QC045001;PLACE_QC084020,medium_confidence_gap
stanstead,QC,4,PLACE_QC090008,PLACE_QC077001;PLACE_QC141001;PLACE_QC191009;PLACE_QC090008,medium_confidence_gap
