cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
"CD_ON_Toronto,_East—Est,_City—Cité",CD_ON_Toronto_E,OVERLAPS,0.1353,0.3672,0.1764,1941679.15
"CD_ON_Toronto,_West—Ouest,_City—Cité",CD_ON_Toronto_S,OVERLAPS,0.3526,0.4232,0.6788,5653972.3
"CD_ON_Toronto,_West—Ouest,_City—Cité",CD_ON_Toronto_W-O,OVERLAPS,0.127,0.2156,0.236,2880213.83
"CD_ON_Toronto,_West—Ouest,_City—Cité",CD_ON_Toronto_Centre,OVERLAPS,0.1228,0.1372,0.5384,1832768.68
"CD_ON_Toronto,_West—Ouest,_City—Cité",CD_ON_Toronto_N,OVERLAPS,0.1628,0.224,0.3737,2992081.71
"CD_ON_Victoria,_North—Nord",CD_ON_Peterborough_W-O,OVERLAPS,0.0573,0.0767,0.1845,293987708.32
"CD_ON_Victoria,_North—Nord",CD_ON_Victoria,OVERLAPS,0.4348,0.9233,0.4511,3541317487.33
"CD_ON_Wellington,_Centre",CD_ON_Wellington_S,OVERLAPS,0.1181,0.2106,0.212,257313805.49
"CD_ON_Wellington,_Centre",CD_ON_Wellington_N,OVERLAPS,0.3811,0.6399,0.4851,781974444.02
"CD_ON_Wellington,_Centre",CD_ON_Dufferin,OVERLAPS,0.0702,0.1495,0.1169,182686801.16
"CD_ON_Wellington,_North—Nord",CD_ON_Perth_N,OVERLAPS,0.0901,0.1481,0.1872,221775459.51
"CD_ON_Wellington,_North—Nord",CD_ON_Wellington_N,OVERLAPS,0.3641,0.5543,0.5149,830017033.44
"CD_ON_Wellington,_North—Nord",CD_ON_Dufferin,OVERLAPS,0.1705,0.2976,0.2852,445635007.8
"CD_ON_Wentworth_&_Brant,_North—Nord",CD_ON_Brant,OVERLAPS,0.2039,0.3047,0.3812,355721500.09
"CD_ON_Wentworth_&_Brant,_North—Nord",CD_ON_Oxford_N,OVERLAPS,0.1457,0.2543,0.2542,296954243.75
"CD_ON_Wentworth_&_Brant,_North—Nord",CD_ON_Wentworth,OVERLAPS,0.2749,0.441,0.4219,514868094.71
"CD_ON_Wentworth,_South—Sud",CD_ON_Wentworth,OVERLAPS,0.4629,0.699,0.5781,705431030.96
"CD_ON_Wentworth,_South—Sud",CD_ON_Hamilton_E,OVERLAPS,0.0031,0.0032,0.2861,3198444.08
"CD_ON_Wentworth,_South—Sud",CD_ON_Lincoln,OVERLAPS,0.1861,0.2978,0.3315,300505489.35
