from,to,iou
ON066008_1861,ON028004_1871,1.0
ON066010_1861,ON027001_1871,1.0
ON067001_1861,ON078009_1871,1.0
ON067003_1861,ON078004_1871,1.0
ON067004_1861,ON078002_1871,1.0
ON067005_1861,ON078007_1871,1.0
ON067007_1861,ON078006_1871,1.0
ON067006_1861,ON078003_1871,1.0
ON067008_1861,ON078001_1871,0.9908
ON067011_1861,ON078008_1871,1.0
ON067010_1861,ON078005_1871,1.0
ON103001_1861,ON035007_1871,1.0
ON103010_1861,ON035006_1871,1.0
ON068002_1861,ON071001_1871,1.0
ON068004_1861,ON071005_1871,1.0
ON068005_1861,ON071003_1871,1.0
ON068006_1861,ON071006_1871,1.0
ON068001_1861,ON071002_1871,1.0
ON068003_1861,ON071004_1871,1.0
ON069002_1861,ON051003_1871,1.0
ON069004_1861,ON050004_1871,1.0
ON069005_1861,ON050001_1871,1.0
ON069006_1861,ON051001_1871,1.0
ON069007_1861,ON051004_1871,1.0
ON070002_1861,ON006005_1871,1.0
ON070005_1861,ON006003_1871,1.0
ON070009_1861,ON006001_1871,1.0
ON070008_1861,ON006006_1871,1.0
ON070004_1861,ON005002_1871,1.0
ON070006_1861,ON005003_1871,1.0
ON071005_1861,ON001012_1871,1.0
ON071011_1861,ON001013_1871,1.0
ON071008_1861,ON001010_1871,1.0
ON071009_1861,ON001008_1871,1.0
ON071010_1861,ON001009_1871,1.0
ON071002_1861,ON001003_1871,1.0
ON071003_1861,ON001004_1871,1.0
ON071006_1861,ON001001_1871,1.0
ON071007_1861,ON001006_1871,1.0
ON071012_1861,ON001014_1871,1.0
ON071001_1861,ON001002_1871,1.0
ON072002_1861,ON064011_1871,1.0
ON072006_1861,ON064010_1871,1.0
ON072008_1861,ON064013_1871,1.0
ON072009_1861,ON064012_1871,1.0
ON072012_1861,ON064009_1871,1.0
ON072014_1861,ON065006_1871,1.0
ON072015_1861,ON065004_1871,0.9978
ON073001_1861,ON074001_1871,1.0
ON073002_1861,ON074003_1871,1.0
ON073003_1861,ON074002_1871,1.0
ON073004_1861,ON074004_1871,1.0
ON074001_1861,ON069001_1871,1.0
ON074002_1861,ON069003_1871,1.0
ON074006_1861,ON070005_1871,1.0
ON074008_1861,ON070003_1871,1.0
ON074004_1861,ON070006_1871,1.0
ON075003_1861,ON037004_1871,1.0
ON075006_1861,ON037003_1871,1.0
ON075008_1861,ON037002_1871,1.0
ON075012_1861,ON036008_1871,0.9965
ON075004_1861,ON037005_1871,1.0
ON075017_1861,ON037008_1871,1.0
ON075016_1861,ON037006_1871,1.0
ON075002_1861,ON036005_1871,1.0
ON075005_1861,ON036002_1871,1.0
ON075007_1861,ON036006_1871,0.9851
ON075011_1861,ON036001_1871,1.0
ON075015_1861,ON037001_1871,1.0
ON076002_1861,ON017004_1871,0.9836
ON076003_1861,ON017003_1871,1.0
ON076004_1861,ON017009_1871,1.0
ON076007_1861,ON017006_1871,1.0
ON076008_1861,ON017002_1871,1.0
ON076009_1861,ON017007_1871,0.9863
ON076010_1861,ON017001_1871,1.0
ON077001_1861,ON038006_1871,1.0
ON077004_1861,ON038005_1871,1.0
