:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
PLACE_ON181012,PLACE_ON181013,CENSUS_1871,4369.74,P122_borders_with
PLACE_ON181010,PLACE_ON181012,CENSUS_1871,13478.21,P122_borders_with
PLACE_ON181010,PLACE_ON181011,CENSUS_1871,9436.64,P122_borders_with
PLACE_ON181010,PLACE_ON181013,CENSUS_1871,4128.92,P122_borders_with
PLACE_ON110001,PLACE_ON181010,CENSUS_1871,8720.21,P122_borders_with
PLACE_ON110001,PLACE_ON181012,CENSUS_1871,2830.56,P122_borders_with
PLACE_ON001004,PLACE_ON001005,CENSUS_1871,20740.66,P122_borders_with
PLACE_ON001004,PLACE_ON110001,CENSUS_1871,8782.11,P122_borders_with
PLACE_ON001004,PLACE_ON110006,CENSUS_1871,5496.47,P122_borders_with
PLACE_ON001004,PLACE_ON181012,CENSUS_1871,7677.72,P122_borders_with
PLACE_ON001005,PLACE_ON001006,CENSUS_1871,15617.06,P122_borders_with
PLACE_ON001005,PLACE_ON110006,CENSUS_1871,7908.03,P122_borders_with
PLACE_ON001005,PLACE_ON001013,CENSUS_1871,7229.1,P122_borders_with
PLACE_ON001001,PLACE_ON001002,CENSUS_1871,4826.55,P122_borders_with
PLACE_ON001001,PLACE_ON001004,CENSUS_1871,12223.42,P122_borders_with
PLACE_ON001001,PLACE_ON110001,CENSUS_1871,9673.09,P122_borders_with
PLACE_ON001006,PLACE_ON002001_1871,CENSUS_1871,11482.02,P122_borders_with
PLACE_ON001006,PLACE_ON001013,CENSUS_1871,2962.41,P122_borders_with
PLACE_ON001006,PLACE_ON181017,CENSUS_1871,12222.99,P122_borders_with
PLACE_ON001002,PLACE_ON110001,CENSUS_1871,2399.42,P122_borders_with
PLACE_ON111001_1871,PLACE_ON111007_1871,CENSUS_1871,11761.11,P122_borders_with
PLACE_ON111001_1871,PLACE_ON118006,CENSUS_1871,13414.3,P122_borders_with
PLACE_ON111002,PLACE_ON111009,CENSUS_1871,15543.29,P122_borders_with
PLACE_ON111002,PLACE_ON111010,CENSUS_1871,651.96,P122_borders_with
PLACE_ON111002,PLACE_ON111011,CENSUS_1871,10885.05,P122_borders_with
PLACE_ON043005_1871,PLACE_ON111007_1871,CENSUS_1871,4940.44,P122_borders_with
PLACE_ON043005_1871,PLACE_ON111010,CENSUS_1871,10354.17,P122_borders_with
PLACE_ON043005_1871,PLACE_ON111001_1871,CENSUS_1871,18209.66,P122_borders_with
PLACE_ON043005_1871,PLACE_ON118006,CENSUS_1871,16496.33,P122_borders_with
PLACE_ON043005_1871,PLACE_ON043013,CENSUS_1871,35457.13,P122_borders_with
PLACE_ON043005_1871,PLACE_ON081005_1871,CENSUS_1871,14319.51,P122_borders_with
PLACE_ON043006_1871,PLACE_ON101004_1871,CENSUS_1871,81.52,P122_borders_with
PLACE_ON043006_1871,PLACE_ON111014,CENSUS_1871,16684.29,P122_borders_with
PLACE_ON043006_1871,PLACE_ON111002,CENSUS_1871,19912.64,P122_borders_with
PLACE_ON043006_1871,PLACE_ON101008_1861,CENSUS_1871,14602.86,P122_borders_with
PLACE_ON043006_1871,PLACE_ON111007_1871,CENSUS_1871,6975.83,P122_borders_with
PLACE_ON043006_1871,PLACE_ON111010,CENSUS_1871,14334.09,P122_borders_with
PLACE_ON111007_1871,PLACE_ON111010,CENSUS_1871,20110.96,P122_borders_with
PLACE_ON065001_1871,PLACE_ON125003,CENSUS_1871,15989.33,P122_borders_with
PLACE_ON065001_1871,PLACE_ON077004,CENSUS_1871,2518.18,P122_borders_with
PLACE_ON065001_1871,PLACE_ON077002_1871,CENSUS_1871,2280.72,P122_borders_with
PLACE_ON065001_1871,PLACE_ON077001,CENSUS_1871,266.57,P122_borders_with
PLACE_ON065001_1871,PLACE_ON065005_1871,CENSUS_1871,7892.04,P122_borders_with
PLACE_ON065001_1871,PLACE_ON111014,CENSUS_1871,7679.54,P122_borders_with
PLACE_ON065001_1871,PLACE_ON111009,CENSUS_1871,4280.21,P122_borders_with
PLACE_ON065001_1871,PLACE_ON069016,CENSUS_1871,15794.72,P122_borders_with
PLACE_ON111009,PLACE_ON111014,CENSUS_1871,19978.1,P122_borders_with
PLACE_ON111010,PLACE_ON111011,CENSUS_1871,19660.65,P122_borders_with
PLACE_ON111011,PLACE_ON112007_1871,CENSUS_1871,5105.55,P122_borders_with
PLACE_ON043013,PLACE_ON111010,CENSUS_1871,4859.67,P122_borders_with
PLACE_ON043013,PLACE_ON111011,CENSUS_1871,10481.63,P122_borders_with
PLACE_ON043013,PLACE_ON112007_1871,CENSUS_1871,29568.17,P122_borders_with
PLACE_ON043013,PLACE_ON081005_1871,CENSUS_1871,4881.11,P122_borders_with
PLACE_ON043013,PLACE_ON142008_1871,CENSUS_1871,17406.35,P122_borders_with
PLACE_ON043013,PLACE_ON117002_1871,CENSUS_1871,9831.75,P122_borders_with
PLACE_ON065005_1871,PLACE_ON069016,CENSUS_1871,35452.76,P122_borders_with
PLACE_ON065005_1871,PLACE_ON067001_1871,CENSUS_1871,14502.64,P122_borders_with
PLACE_ON065005_1871,PLACE_ON067003,CENSUS_1871,4897.03,P122_borders_with
PLACE_ON111014,PLACE_ON125003,CENSUS_1871,2840.31,P122_borders_with
PLACE_ON069016,PLACE_ON111009,CENSUS_1871,26765.94,P122_borders_with
PLACE_ON069016,PLACE_ON111002,CENSUS_1871,9487.19,P122_borders_with
PLACE_ON069016,PLACE_ON086004_1871,CENSUS_1871,9115.16,P122_borders_with
PLACE_ON065003_1851,PLACE_ON112001,CENSUS_1871,17210.12,P122_borders_with
PLACE_ON065003_1851,PLACE_ON072003,CENSUS_1871,20606.65,P122_borders_with
PLACE_ON065003_1851,PLACE_ON099002,CENSUS_1871,2230.49,P122_borders_with
PLACE_ON065003_1851,PLACE_ON139007,CENSUS_1871,3854.7,P122_borders_with
PLACE_ON065003_1851,PLACE_ON099004,CENSUS_1871,17833.71,P122_borders_with
PLACE_ON065003_1851,PLACE_ON139002,CENSUS_1871,14456.69,P122_borders_with
PLACE_ON099002,PLACE_ON112001,CENSUS_1871,18715.15,P122_borders_with
PLACE_ON099002,PLACE_QC074003,CENSUS_1871,3817.08,P122_borders_with
PLACE_ON099002,PLACE_QC110002,CENSUS_1871,11468.87,P122_borders_with
PLACE_ON099002,PLACE_QC109006,CENSUS_1871,5959.56,P122_borders_with
PLACE_ON099002,PLACE_ON099004,CENSUS_1871,15506.77,P122_borders_with
PLACE_ON099004,PLACE_QC109006,CENSUS_1871,4426.11,P122_borders_with
PLACE_ON099004,PLACE_ON139002,CENSUS_1871,2712.54,P122_borders_with
PLACE_ON099004,PLACE_ON112004,CENSUS_1871,11902.27,P122_borders_with
PLACE_ON099004,PLACE_ON114003,CENSUS_1871,21011.17,P122_borders_with
PLACE_ON069001_1851,PLACE_ON069002_1871,CENSUS_1871,4391.01,P122_borders_with
PLACE_ON069001_1851,PLACE_ON107003_1861,CENSUS_1871,9316.59,P122_borders_with
PLACE_ON069001_1851,PLACE_ON106003,CENSUS_1871,19238.98,P122_borders_with
PLACE_ON069001_1851,PLACE_ON113004,CENSUS_1871,5324.58,P122_borders_with
PLACE_ON106003,PLACE_ON113004,CENSUS_1871,11673.76,P122_borders_with
PLACE_ON106003,PLACE_ON107001,CENSUS_1871,20193.94,P122_borders_with
PLACE_ON106003,PLACE_ON107002,CENSUS_1871,23.5,P122_borders_with
PLACE_ON085002_1871,PLACE_ON106003,CENSUS_1871,4314.29,P122_borders_with
PLACE_ON085002_1871,PLACE_ON113004,CENSUS_1871,16851.47,P122_borders_with
PLACE_ON085002_1871,PLACE_ON107002,CENSUS_1871,16948.0,P122_borders_with
PLACE_ON085002_1871,PLACE_ON108002,CENSUS_1871,7242.64,P122_borders_with
PLACE_ON085002_1871,PLACE_ON118005,CENSUS_1871,4274.86,P122_borders_with
PLACE_ON107003_1861,PLACE_ON113004,CENSUS_1871,17011.94,P122_borders_with
PLACE_ON069002_1871,PLACE_ON106003,CENSUS_1871,2506.38,P122_borders_with
PLACE_ON107006,PLACE_ON113004,CENSUS_1871,6000.58,P122_borders_with
PLACE_ON082004_1871,PLACE_ON107003_1861,CENSUS_1871,6001.57,P122_borders_with
PLACE_ON072001_1871,PLACE_ON155007,CENSUS_1871,18802.1,P122_borders_with
PLACE_ON072001_1871,PLACE_ON154004,CENSUS_1871,20321.51,P122_borders_with
PLACE_ON072001_1871,PLACE_ON114011,CENSUS_1871,18907.2,P122_borders_with
PLACE_ON072001_1871,PLACE_ON114008,CENSUS_1871,287.76,P122_borders_with
PLACE_ON072001_1871,PLACE_ON114006,CENSUS_1871,16788.71,P122_borders_with
PLACE_ON114006,PLACE_ON114008,CENSUS_1871,19132.51,P122_borders_with
PLACE_ON114006,PLACE_ON155002,CENSUS_1871,18931.03,P122_borders_with
PLACE_ON114008,PLACE_ON154004,CENSUS_1871,17824.42,P122_borders_with
PLACE_ON114008,PLACE_ON114016,CENSUS_1871,16712.93,P122_borders_with
PLACE_ON114011,PLACE_ON155002,CENSUS_1871,16817.65,P122_borders_with
PLACE_ON114004,PLACE_ON114016,CENSUS_1871,9605.31,P122_borders_with
PLACE_ON065003_1871,PLACE_ON114004,CENSUS_1871,11231.41,P122_borders_with
PLACE_ON037008,PLACE_ON114006,CENSUS_1871,16978.43,P122_borders_with
PLACE_ON037008,PLACE_ON155002,CENSUS_1871,6529.98,P122_borders_with
PLACE_ON037008,PLACE_ON114016,CENSUS_1871,25767.25,P122_borders_with
PLACE_ON037010,PLACE_ON114004,CENSUS_1871,2339.79,P122_borders_with
PLACE_ON037010,PLACE_ON065004_1871,CENSUS_1871,1362.44,P122_borders_with
PLACE_ON037010,PLACE_ON065003_1871,CENSUS_1871,19123.56,P122_borders_with
PLACE_ON065004_1871,PLACE_ON114004,CENSUS_1871,4893.0,P122_borders_with
PLACE_ON065004_1871,PLACE_ON114016,CENSUS_1871,9354.96,P122_borders_with
PLACE_ON036005,PLACE_ON066008,CENSUS_1871,17380.42,P122_borders_with
PLACE_ON036005,PLACE_ON154004,CENSUS_1871,19021.53,P122_borders_with
PLACE_ON036005,PLACE_ON065006_1851,CENSUS_1871,17526.52,P122_borders_with
PLACE_ON114005,PLACE_ON155007,CENSUS_1871,20157.07,P122_borders_with
PLACE_ON114005,PLACE_ON154004,CENSUS_1871,15749.38,P122_borders_with
PLACE_ON066008,PLACE_ON114005,CENSUS_1871,20378.7,P122_borders_with
PLACE_ON065006_1851,PLACE_ON114008,CENSUS_1871,19144.53,P122_borders_with
