wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q1638493,Huron County,CD_ON_Huron,CD,Huron,ON,1851,1861,2,2
Q1638493,Huron County,CD_ON_Huron_1921,CD,Huron,ON,1921,1921,1,2
Q1639696,Yorkton,PLACE_NT203109,CSD,Yorkton,NT,1901,1901,1,3
Q1639696,Yorkton,PLACE_SK210004,CSD,Yorkton t-v,SK,1911,1911,1,3
Q1639696,Yorkton,PLACE_SK179020_1921,CSD,"Yorkton, T-V",SK,1921,1921,1,3
Q1642364,Woodstock,PLACE_ON134012,CSD,"Woodstock, C",ON,1851,1921,5,3
Q1642364,Woodstock,PLACE_ON101006_1901,CSD,"Woodstock, City—Cité",ON,1901,1901,1,3
Q1642364,Woodstock,PLACE_ON106006_1911_1911,CSD,Woodstock c,ON,1911,1911,1,3
Q16461,Nanaimo,PLACE_BC003005,CSD,"Nanaimo, City—Cité",BC,1891,1901,2,3
Q16461,Nanaimo,PLACE_BC010006,CSD,Nanaimo c,BC,1911,1911,1,3
Q16461,Nanaimo,PLACE_BC212009,CSD,"Nanaimo and suburbs, C",BC,1921,1921,1,3
Q16543127,Champlain County,CD_QC_Champlain,CD,Champlain,QC,1851,1921,6,3
Q16543127,Champlain County,CD_QC_Champlain_1891,CD,Champlain,QC,1891,1891,1,3
Q16543127,Champlain County,CD_QC_Champlain_1891_1891,CD,Champlain,QC,1891,1891,1,3
Q1658106,Birtle,PLACE_MB009003_1891,CSD,Birtle,MB,1891,1901,2,2
Q1658106,Birtle,PLACE_MB165002,CSD,Birtle,MB,1921,1921,1,2
Q1658351,Brenda,PLACE_MB009004,CSD,Brenda,MB,1891,1891,1,3
Q1658351,Brenda,PLACE_MB006003_1901,CSD,Brenda,MB,1901,1901,1,3
Q1658351,Brenda,PLACE_MB158003,CSD,Brenda,MB,1921,1921,1,3
Q1658423,Cartier,PLACE_MB184006,CSD,Cartier,MB,1881,1881,1,3
Q1658423,Cartier,PLACE_MB008001_1891,CSD,Cartier,MB,1891,1891,1,3
Q1658423,Cartier,PLACE_MB160001_1921,CSD,Cartier,MB,1921,1921,1,3
Q1658912,Dauphin,PLACE_MB009010_1901,CSD,Dauphin,MB,1901,1901,1,2
Q1658912,Dauphin,PLACE_MB167001,CSD,Dauphin,MB,1921,1921,1,2
Q1659017,Dufferin,PLACE_MB009011,CSD,Dufferin N,MB,1881,1891,2,3
Q1659017,Dufferin,PLACE_MB009012,CSD,Dufferin S,MB,1881,1891,2,3
Q1659017,Dufferin,PLACE_MB160003,CSD,Dufferin,MB,1901,1921,2,3
Q1659757,Gimli,PLACE_MB022014,CSD,Gimli vl (T27 R4 ME1),MB,1911,1911,1,2
Q1659757,Gimli,PLACE_MB166013_1921,CSD,"Gimli, VL",MB,1921,1921,1,2
Q1660587,Lansdowne,PLACE_MB007013_1891,CSD,Landsdowne,MB,1891,1891,1,3
Q1660587,Lansdowne,PLACE_MB008006_1901,CSD,Lansdowne,MB,1901,1901,1,3
Q1660587,Lansdowne,PLACE_MB164004_1921,CSD,Lansdowne,MB,1921,1921,1,3
Q1660715,Minitonas,PLACE_MB009027_1901,CSD,Minitonas,MB,1901,1901,1,2
Q1660715,Minitonas,PLACE_MB169001_1921,CSD,Minitonas,MB,1921,1921,1,2
Q1660794,Morris,PLACE_MB008009_1891,CSD,Morris,MB,1891,1891,1,3
Q1660794,Morris,PLACE_MB010007,CSD,Morris,MB,1901,1901,1,3
Q1660794,Morris,PLACE_MB156004,CSD,Morris,MB,1921,1921,1,3
