appellation_id:ID,:LABEL,name,type,tcpuid,notes,year
APP_NS032015_CANONICAL,E41_Appellation,Melford,canonical,NS032015,Canonical name for NS032015 (OCR corrected),
APP_NS033001_CANONICAL,E41_Appellation,"Halifax, Ward—Quartier No. 1",canonical,NS033001,Canonical name for NS033001 (OCR corrected),
APP_NS033002_CANONICAL,E41_Appellation,"Halifax, Ward—Quartier No. 2",canonical,NS033002,Canonical name for NS033002 (OCR corrected),
APP_NS033003_CANONICAL,E41_Appellation,"Halifax, Ward—Quartier No. 3",canonical,NS033003,Canonical name for NS033003 (OCR corrected),
APP_NS033004_CANONICAL,E41_Appellation,"Halifax, Ward—Quartier No. 4",canonical,NS033004,Canonical name for NS033004 (OCR corrected),
APP_NS033005_CANONICAL,E41_Appellation,"Halifax, Ward—Quartier No. 5",canonical,NS033005,Canonical name for NS033005 (OCR corrected),
APP_NS033006_CANONICAL,E41_Appellation,"Halifax, Ward—Quartier No. 6",canonical,NS033006,Canonical name for NS033006 (OCR corrected),
APP_NS037999_CANONICAL,E41_Appellation,NO DATA,canonical,NS037999,Canonical name for NS037999 (OCR corrected),
APP_NS039999_CANONICAL,E41_Appellation,NO DATA,canonical,NS039999,Canonical name for NS039999 (OCR corrected),
APP_NS041016_CANONICAL,E41_Appellation,North Shore,canonical,NS041016,Canonical name for NS041016 (OCR corrected),
APP_NS041016_1911_VARIANT,E41_Appellation,North River,variant,NS041016,"OCR variant of ""North Shore""",1911.0
APP_NS043999_CANONICAL,E41_Appellation,NO DATA,canonical,NS043999,Canonical name for NS043999 (OCR corrected),
APP_NS044999_CANONICAL,E41_Appellation,NO DATA,canonical,NS044999,Canonical name for NS044999 (OCR corrected),
APP_NS045999_CANONICAL,E41_Appellation,NO DATA,canonical,NS045999,Canonical name for NS045999 (OCR corrected),
APP_NS046999_CANONICAL,E41_Appellation,NO DATA,canonical,NS046999,Canonical name for NS046999 (OCR corrected),
APP_NS047999_CANONICAL,E41_Appellation,NO DATA,canonical,NS047999,Canonical name for NS047999 (OCR corrected),
APP_NS050999_CANONICAL,E41_Appellation,NO DATA,canonical,NS050999,Canonical name for NS050999 (OCR corrected),
APP_NS052999_CANONICAL,E41_Appellation,NO DATA,canonical,NS052999,Canonical name for NS052999 (OCR corrected),
APP_NS053999_CANONICAL,E41_Appellation,NO DATA,canonical,NS053999,Canonical name for NS053999 (OCR corrected),
APP_NS996999_CANONICAL,E41_Appellation,NO DATA,canonical,NS996999,Canonical name for NS996999 (OCR corrected),
APP_ON038007_CANONICAL,E41_Appellation,"Preston, Village",canonical,ON038007,Canonical name for ON038007 (OCR corrected),
APP_ON038007_1871_VARIANT,E41_Appellation,"Georgetown, Village",variant,ON038007,"OCR variant of ""Preston, Village""",1871.0
APP_PE001001_CANONICAL,E41_Appellation,Township No. 1,canonical,PE001001,Canonical name for PE001001 (OCR corrected),
APP_PE001001_1921_VARIANT,E41_Appellation,Township 38,variant,PE001001,"OCR variant of ""Township No. 1""",1921.0
APP_PE001002_CANONICAL,E41_Appellation,Township No. 2,canonical,PE001002,Canonical name for PE001002 (OCR corrected),
APP_PE001003_CANONICAL,E41_Appellation,Township No. 3,canonical,PE001003,Canonical name for PE001003 (OCR corrected),
APP_PE001003_1921_VARIANT,E41_Appellation,Township 40,variant,PE001003,"OCR variant of ""Township No. 3""",1921.0
APP_PE001004_CANONICAL,E41_Appellation,Township No. 4,canonical,PE001004,Canonical name for PE001004 (OCR corrected),
APP_PE001004_1921_VARIANT,E41_Appellation,Township 41,variant,PE001004,"OCR variant of ""Township No. 4""",1921.0
APP_PE001005_CANONICAL,E41_Appellation,Township No. 5,canonical,PE001005,Canonical name for PE001005 (OCR corrected),
